code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb_x,mktcap,nmc,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb_y,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603038 ,华立股份,1.466,20.07,19.9,20.18,19.8,19.78,1035593.0,2.75449,20690197.0,14.439,1.916,188655.5916,75456.33606,装修装饰,广东,24.78,0.38,0.94,121490.92,73361.25,31223.51,32316.8,3.44,0.607,10.47,1.92,20170116.0,54435.53,5.79,14.97,-20.87,26.31,10.85,8097.0
603037 ,凯众股份,1.521,22.69,22.36,22.76,22.17,22.35,1069320.0,1.73428,24030298.0,20.441,3.0,240338.6063,139901.316762,汽车配件,上海,17.54,0.62,1.06,94195.27,71848.52,10770.83,46543.45,4.39,0.97,7.56,3.0,20170120.0,22384.6,2.11,23.99,15.45,43.21,24.75,8670.0
603036 ,如通股份,-1.421,14.57,14.75,14.94,14.32,14.78,7991959.0,15.71982,116196498.0,80.944,2.996,296295.52,74073.88,专用机械,江苏,87.13,0.51,2.03,108807.4,91759.99,12462.07,41197.2,2.03,0.125,4.86,3.0,20161209.0,33118.23,1.63,1.8,-12.25,33.04,16.87,25073.0
603035 ,常熟汽饰,3.395,14.01,13.58,14.18,13.58,13.55,7760375.0,4.50623,108226907.0,17.296,1.58,392280.0,241272.41643,汽车配件,江苏,9.43,1.72,2.8,418522.56,119139.92,89443.43,113690.07,4.06,1.114,8.87,1.58,20170105.0,98008.15,3.5,16.22,89.96,22.25,30.01,22125.0
603033 ,三维股份,-0.841,24.75,24.75,25.59,24.52,24.96,1069760.0,1.9344700000000001,26796941.0,55.0,2.666,538167.794175,136867.5,橡胶,浙江,55.93,0.55,2.17,174059.38,112293.45,18990.18,41709.8,1.92,0.57,9.28,2.67,20161207.0,58274.36,2.68,19.87,142.3,22.63,9.12,9114.0
603032 ,德新交运,-3.822,39.0,42.0,44.61,38.5,40.55,32263696.0,41.14847,1380249580.0,195.0,14.469,624031.2,305791.2,公路,新疆,845.22,0.78,1.6,49344.35,40844.18,4214.26,11726.42,0.73,0.035,2.7,14.47,20170105.0,12639.55,0.79,-34.68,-74.07,29.67,5.42,25321.0
603031 ,安德利,1.855,13.73,13.5,13.89,13.48,13.48,2601341.0,4.65673,35636305.0,28.604,2.535,153776.0,76698.47108,百货,安徽,128.17,0.56,1.12,152238.56,58516.11,55864.96,21286.02,1.9,0.08,5.42,2.53,20160822.0,27367.78,2.44,9.63,-62.35,19.12,0.66,11303.0
603030 ,全筑股份,2.493,7.4,7.26,7.94,7.2,7.22,15924168.0,2.98217,118701856.0,23.917,2.316,398325.96642,395144.92842,装修装饰,上海,23.6,5.34,5.38,719232.13,618409.63,46126.84,50837.01,0.94,0.235,3.2,2.32,20150320.0,64231.66,1.19,51.5,160.35,12.71,2.79,16162.0
603029 ,天鹅股份,0.57,15.89,15.73,15.94,15.64,15.8,1497855.0,4.10085,23779815.0,132.417,2.115,148317.26,58038.95594,农用机械,山东,0.0,0.37,0.93,96995.47,63217.28,19938.25,22077.5,2.37,-0.053,7.51,2.11,20160427.0,33373.21,3.58,13.12,-73.82,33.92,-2.42,17236.0
603028 ,赛福天,2.048,8.97,8.81,9.05,8.81,8.79,3295719.0,2.85174,29485957.0,81.545,2.851,198057.6,103665.090711,钢加工,江苏,122.71,1.16,2.21,98747.11,52827.2,37959.2,19095.5,0.86,0.055,3.15,2.85,20160331.0,26114.68,1.18,18.87,-49.66,16.57,2.51,23462.0
603027 ,千禾味业,1.046,22.21,21.97,22.51,21.68,21.98,5022230.0,1.56078,111239049.0,49.41,5.678,724413.17572,714666.45048,食品,四川,31.23,3.22,3.26,182568.91,106681.21,40213.43,36938.15,1.13,0.53,4.01,5.55,20160307.0,53455.93,1.64,8.17,66.35,44.65,23.32,27412.0
603026 ,石大胜华,1.853,25.84,25.66,26.05,25.0,25.37,3559471.0,1.7562,91553875.0,28.087,3.277,523725.12,523725.12,化工原料,山东,23.12,2.03,2.03,288519.53,159800.34,112588.92,41812.15,2.06,0.838,7.88,3.28,20150529.0,78866.81,3.89,14.15,27.89,14.7,4.43,30697.0
603025 ,大豪科技,-0.496,12.03,12.08,12.17,11.77,12.09,4852874.0,0.5312800000000001,58287112.0,30.075,6.098,1109034.525333,1098848.99982,电脑设备,北京,30.01,9.13,9.22,197934.63,149756.42,12522.08,18552.67,0.2,0.401,1.97,6.1,20150422.0,51359.39,0.56,1.67,-6.79,48.93,34.39,18200.0
603023 ,威帝股份,1.161,6.1,6.03,6.1,5.96,6.03,2813214.0,0.7814500000000001,17015716.0,32.105,3.904,219600.0,219600.0,汽车配件,黑龙江,45.5,3.6,3.6,79951.99,68389.15,2516.56,662.03,0.02,0.10099999999999999,1.56,3.9,20150527.0,14200.95,0.39,15.73,9.17,52.04,31.12,19296.0
603022 ,新通联,8.095,11.35,10.66,11.5,10.52,10.5,6365816.0,3.18291,69955602.0,87.308,3.662,227000.0,227000.0,广告包装,上海,53.46,2.0,2.0,80871.68,51497.06,20468.06,13474.82,0.67,0.159,3.1,3.66,20150518.0,26450.65,1.32,14.35,52.88,20.91,6.49,19500.0
603021 ,山东华鹏,1.42,7.14,6.99,7.22,6.99,7.04,3675350.0,1.16465,26131263.0,89.25,1.721,228442.92198,225321.174036,玻璃,山东,424.82,3.16,3.2,286354.5,64692.93,102510.05,60313.61,1.89,0.013000000000000001,4.15,1.72,20150423.0,37374.18,1.17,7.31,-88.31,22.86,0.67,15220.0
